exec n k time
0 1000000 1 0.001957
0 1000000 2 0.000124
0 1000000 4 0.000278
0 1000000 8 0.002765
0 1000000 16 0.003196
0 1000000 32 0.003140
0 1000000 64 0.005316
0 1000000 128 0.006854
0 1000000 256 0.014874
0 10000000 1 0.023545
0 10000000 2 0.014795
0 10000000 4 0.018357
0 10000000 8 0.009721
0 10000000 16 0.017857
0 10000000 32 0.019582
0 10000000 64 0.034204
0 10000000 128 0.040067
0 10000000 256 0.022305
0 100000000 1 0.279241
0 100000000 2 0.272543
0 100000000 4 0.299210
0 100000000 8 0.370795
0 100000000 16 0.347008
0 100000000 32 0.290812
0 100000000 64 0.304415
0 100000000 128 0.195134
0 100000000 256 0.348234
1 1000000 1 0.000137
1 1000000 2 0.000123
1 1000000 4 0.000313
1 1000000 8 0.000895
1 1000000 16 0.003043
1 1000000 32 0.002088
1 1000000 64 0.004079
1 1000000 128 0.008876
1 1000000 256 0.012523
1 10000000 1 0.015459
1 10000000 2 0.011910
1 10000000 4 0.000239
1 10000000 8 0.009395
1 10000000 16 0.007068
1 10000000 32 0.015417
1 10000000 64 0.028959
1 10000000 128 0.027467
1 10000000 256 0.023407
1 100000000 1 0.251244
1 100000000 2 0.288150
1 100000000 4 0.313586
1 100000000 8 0.465939
1 100000000 16 0.346706
1 100000000 32 0.302946
1 100000000 64 0.186500
1 100000000 128 0.171012
1 100000000 256 0.368685
2 1000000 1 0.000076
2 1000000 2 0.000134
2 1000000 4 0.000943
2 1000000 8 0.000351
2 1000000 16 0.002038
2 1000000 32 0.002261
2 1000000 64 0.003959
2 1000000 128 0.009932
2 1000000 256 0.012122
2 10000000 1 0.023472
2 10000000 2 0.009638
2 10000000 4 0.030871
2 10000000 8 0.012494
2 10000000 16 0.010483
2 10000000 32 0.017933
2 10000000 64 0.024567
2 10000000 128 0.034783
2 10000000 256 0.019948
2 100000000 1 0.247063
2 100000000 2 0.269448
2 100000000 4 0.400482
2 100000000 8 0.408330
2 100000000 16 0.336983
2 100000000 32 0.323358
2 100000000 64 0.145851
2 100000000 128 0.360307
2 100000000 256 0.327809
3 1000000 1 0.000102
3 1000000 2 0.002408
3 1000000 4 0.000271
3 1000000 8 0.000618
3 1000000 16 0.002044
3 1000000 32 0.002887
3 1000000 64 0.004579
3 1000000 128 0.010274
3 1000000 256 0.013460
3 10000000 1 0.018390
3 10000000 2 0.013399
3 10000000 4 0.010549
3 10000000 8 0.020543
3 10000000 16 0.020382
3 10000000 32 0.022600
3 10000000 64 0.013931
3 10000000 128 0.034865
3 10000000 256 0.024758
3 100000000 1 0.254136
3 100000000 2 0.265265
3 100000000 4 0.372203
3 100000000 8 0.358718
3 100000000 16 0.339933
3 100000000 32 0.286655
3 100000000 64 0.183794
3 100000000 128 0.384710
3 100000000 256 0.342131
4 1000000 1 0.000081
4 1000000 2 0.000348
4 1000000 4 0.000604
4 1000000 8 0.002042
4 1000000 16 0.001491
4 1000000 32 0.002289
4 1000000 64 0.002599
4 1000000 128 0.006287
4 1000000 256 0.016156
4 10000000 1 0.017420
4 10000000 2 0.008613
4 10000000 4 0.023422
4 10000000 8 0.015269
4 10000000 16 0.016901
4 10000000 32 0.017980
4 10000000 64 0.026937
4 10000000 128 0.026835
4 10000000 256 0.022393
4 100000000 1 0.253819
4 100000000 2 0.304193
4 100000000 4 0.330242
4 100000000 8 0.334776
4 100000000 16 0.328343
4 100000000 32 0.256594
4 100000000 64 0.143430
4 100000000 128 0.332325
4 100000000 256 0.383359
5 1000000 1 0.000101
5 1000000 2 0.000162
5 1000000 4 0.000227
5 1000000 8 0.000837
5 1000000 16 0.001867
5 1000000 32 0.002753
5 1000000 64 0.005876
5 1000000 128 0.011652
5 1000000 256 0.020737
5 10000000 1 0.019027
5 10000000 2 0.020438
5 10000000 4 0.011555
5 10000000 8 0.007204
5 10000000 16 0.017436
5 10000000 32 0.012489
5 10000000 64 0.021740
5 10000000 128 0.037245
5 10000000 256 0.028301
5 100000000 1 0.248261
5 100000000 2 0.304190
5 100000000 4 0.318845
5 100000000 8 0.399226
5 100000000 16 0.391646
5 100000000 32 0.291379
5 100000000 64 0.234456
5 100000000 128 0.188829
5 100000000 256 0.087782
6 1000000 1 0.000103
6 1000000 2 0.000132
6 1000000 4 0.000322
6 1000000 8 0.000833
6 1000000 16 0.002797
6 1000000 32 0.002881
6 1000000 64 0.005797
6 1000000 128 0.011349
6 1000000 256 0.010696
6 10000000 1 0.021303
6 10000000 2 0.025662
6 10000000 4 0.026202
6 10000000 8 0.001706
6 10000000 16 0.007081
6 10000000 32 0.017751
6 10000000 64 0.038272
6 10000000 128 0.034723
6 10000000 256 0.022421
6 100000000 1 0.254944
6 100000000 2 0.300916
6 100000000 4 0.376756
6 100000000 8 0.365579
6 100000000 16 0.330661
6 100000000 32 0.349785
6 100000000 64 0.153793
6 100000000 128 0.083250
6 100000000 256 0.365320
7 1000000 1 0.000101
7 1000000 2 0.002255
7 1000000 4 0.000616
7 1000000 8 0.001884
7 1000000 16 0.002666
7 1000000 32 0.002480
7 1000000 64 0.004913
7 1000000 128 0.010071
7 1000000 256 0.013955
7 10000000 1 0.026438
7 10000000 2 0.024237
7 10000000 4 0.008625
7 10000000 8 0.018808
7 10000000 16 0.013382
7 10000000 32 0.016359
7 10000000 64 0.029607
7 10000000 128 0.015081
7 10000000 256 0.020274
7 100000000 1 0.249695
7 100000000 2 0.317028
7 100000000 4 0.337618
7 100000000 8 0.360935
7 100000000 16 0.310357
7 100000000 32 0.411860
7 100000000 64 0.386077
7 100000000 128 0.193743
7 100000000 256 0.335943
8 1000000 1 0.000106
8 1000000 2 0.000153
8 1000000 4 0.000200
8 1000000 8 0.000741
8 1000000 16 0.003535
8 1000000 32 0.003172
8 1000000 64 0.006654
8 1000000 128 0.008210
8 1000000 256 0.015340
8 10000000 1 0.015452
8 10000000 2 0.018597
8 10000000 4 0.037166
8 10000000 8 0.000971
8 10000000 16 0.008747
8 10000000 32 0.007116
8 10000000 64 0.029768
8 10000000 128 0.026443
8 10000000 256 0.026613
8 100000000 1 0.281472
8 100000000 2 0.562035
8 100000000 4 0.346242
8 100000000 8 0.486953
8 100000000 16 0.462947
8 100000000 32 0.352205
8 100000000 64 0.452897
8 100000000 128 0.369538
8 100000000 256 0.373938
9 1000000 1 0.002742
9 1000000 2 0.000153
9 1000000 4 0.001329
9 1000000 8 0.000405
9 1000000 16 0.002980
9 1000000 32 0.003313
9 1000000 64 0.004295
9 1000000 128 0.010681
9 1000000 256 0.011262
9 10000000 1 0.016096
9 10000000 2 0.025192
9 10000000 4 0.022644
9 10000000 8 0.026238
9 10000000 16 0.007803
9 10000000 32 0.013449
9 10000000 64 0.033435
9 10000000 128 0.038139
9 10000000 256 0.029809
9 100000000 1 0.258325
9 100000000 2 0.275179
9 100000000 4 0.365225
9 100000000 8 0.390527
9 100000000 16 0.350636
9 100000000 32 0.224209
9 100000000 64 0.180517
9 100000000 128 0.157289
9 100000000 256 0.365554
