Thread ID, Time, Message Type,n,r,k,case
Thread ID: 5, Time: 11:39:49:056 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 11:39:49:075 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 11:39:49:091 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 11:39:49:106 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 11:39:49:121 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 11:39:49:136 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 11:39:49:148 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 11:39:49:160 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 11:39:49:173 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 11:39:49:187 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 11:39:49:199 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 11:39:49:209 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 11:39:49:221 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 11:39:49:231 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 11:39:49:242 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 11:39:49:257 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 11:39:49:270 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 11:39:49:282 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 11:39:49:293 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 11:39:49:305 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 11:39:49:319 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 11:39:49:330 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 11:39:49:338 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 11:39:49:351 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 11:39:49:359 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 11:39:49:371 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 11:39:49:382 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 11:39:49:391 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 11:39:49:403 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 11:39:49:413 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 11:39:49:425 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 11:39:49:439 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 14, Time: 11:39:49:453 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 1, Time: 11:39:49:469 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 12, Time: 11:39:49:482 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 5, Time: 11:39:49:501 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 4, Time: 11:39:49:512 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 8, Time: 11:39:49:525 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 11, Time: 11:39:49:540 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 16, Time: 11:39:49:554 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 6, Time: 11:39:49:570 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 15, Time: 11:39:49:585 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 13, Time: 11:39:49:597 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 10, Time: 11:39:49:610 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 3, Time: 11:39:49:626 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 9, Time: 11:39:49:640 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 7, Time: 11:39:49:653 19/07/2023, sent GRANT message,16,3,0,3
Thread ID: 2, Time: 11:39:49:668 19/07/2023, sent GRANT message,16,3,0,3
